"","state","pollster_raw","date","sample","dem","rep","source","X","X.1","end_date","start_date","n_size","pollster","univ","twoway","week","month","pollster_num","univ_num","state_num","prec","week_adj","month_adj","bias","var_upper","nodata","var_lower","twoway_16","twoway_12","state_lean"
"1","UT","Salt Lake Tribune/Dan Jones","1/15 - 1/18","803 RV",19,64,"rcp",NA,"",2018-01-18,2018-01-15,803,"salt_lake_tribune_dan_jones","RV",0.228915662650602,41,10,97,3,27,4549.23273026316,3,2,-0.026,0.0056,0,0,0.377526938868802,NA,-0.122473061131198
"2","MI","Detroit News/WDIV-TV","1/16 - 1/19","600 LV",51,30,"rcp",NA,"",2018-01-19,2018-01-16,600,"detroit_news_wdiv_tv","LV",0.62962962962963,41,10,24,2,9,2572.94117647059,3,2,0,0.1,1,0,0.498723394337465,0.604,0.0513616971687323
"3","NE","Meeting Street Research","1/24 - 1/28","500 LV",34,51,"fivethirtyeight",NA,"",2018-01-28,2018-01-24,500,"meeting_street_research","LV",0.4,40,10,64,2,17,2083.33333333333,4,2,0.053,0.0056,0,0,0.360492683074517,0.4225,-0.108503658462741
"4","FL","UNF","1/29 - 2/4","429 LV",48,42,"rcp",NA,"",2018-02-04,2018-01-29,429,"unf","LV",0.533333333333333,39,10,123,2,4,1723.66071428571,5,2,0.016,0.0056,0,0,0.493412904261895,0.565,0.0292064521309477
"5","MO","Remington Research (R)","1/3 - 1/4","1122 LV",45,49,"rcp",NA,"",2018-01-04,2018-01-03,1122,"remington_research__r_","LV",0.478723404255319,43,11,90,2,12,4496.14149659864,1,1,-0.019,0.0056,0,0,0.399482019902736,0.5785,-0.0110089900486321
"6","FL","Mason-Dixon","1/30 - 2/1","625 RV",45,44,"rcp",NA,"",2018-02-01,2018-01-30,625,"mason_dixon","RV",0.50561797752809,39,10,60,3,4,2500.31565656566,5,2,-0.01,0.0056,0,0,0.493412904261895,0.565,0.0292064521309477
"7","MO","PPP (D)*","1/8 - 1/9","965 A",45,44,"fivethirtyeight",NA,"",2018-01-09,2018-01-08,965,"ppp__d_","A",0.50561797752809,43,11,85,1,12,3860.48737373737,1,1,0.01,0.0056,0,0,0.399482019902736,0.5785,-0.0110089900486321
"8","PA","Morning Consult","10/1 - 10/2","1188 RV",47,32,"fivethirtyeight",NA,"",2018-10-02,2018-10-01,1188,"morning_consult","RV",0.594936708860759,5,2,73,3,23,4929.72606382979,39,10,0.005,0.0056,0,0,0.494074314398627,0.5455,0.0197871571993138
"9","AZ","OH Predictive Insights","10/1 - 10/2","600 LV",41,47,"rcp",NA,"",2018-10-02,2018-10-01,600,"oh_predictive_insights","LV",0.465909090909091,5,2,81,2,1,2411.20913336793,39,10,-0.083,0.0056,0,0,0.478312090912249,NA,-0.0216879090877509
"10","FL","Florida Southern College","10/1 - 10/5","476 LV",44,46,"fivethirtyeight",NA,"",2018-10-05,2018-10-01,476,"florida_southern_college","LV",0.488888888888889,4,2,37,2,4,1904.94071146245,40,10,0,0.1,1,0,0.493412904261895,0.565,0.0292064521309477
"11","TX","Emerson*","10/1 - 10/5","500 LV",42,47,"rcp",NA,"",2018-10-05,2018-10-01,500,"emerson","LV",0.471910112359551,4,2,29,2,26,2006.33232016211,40,10,-0.018,0.0056,0,0,0.452407570771583,0.421,-0.0632962146142083
