"","X.1","X","state","simulation","final_twoway","win","net_time_swing","polling_error","dem_incumbent"
"1",1,1,"AZ",1,0.466428638808918,0,0.00287393738008229,-0.036338639134961,0
"2",2,2,"AZ",2,0.496951759902323,0,3.49870778708292e-05,0.00252330204400046,0
"3",3,3,"AZ",3,0.483373355302572,0,0.01634028359892,-0.0366066046788572,0
"4",4,4,"AZ",4,0.515754606380877,1,-0.00779171611005541,0.0239582689854609,0
"5",5,5,"AZ",5,0.540712194068688,1,0.0185148684632461,0.0229797160101451,0
"6",6,6,"AZ",6,0.505256698269165,1,-0.0115231543372909,0.0312318598220186,0
"7",7,7,"AZ",7,0.446167488316312,0,-0.0331254954090731,-0.0220082497362481,0
"8",8,8,"AZ",8,0.497617144002489,0,-0.00901921537076452,0.0123034047760416,0
"9",9,9,"AZ",9,0.489650835441071,0,-0.0273463758534495,0.0152805556639615,0
"10",10,10,"AZ",10,0.520254408805879,1,-0.0203719308784659,0.0356529275471115,0
"11",11,11,"AZ",11,0.51617301322276,1,0.0144995234285665,-0.00476601282112118,0
"12",12,12,"AZ",12,0.472504518005836,0,-0.00960125966147587,-0.0176931752550302,0
"13",13,13,"AZ",13,0.487373310111337,0,-0.00841290330432262,-0.00827871006147867,0
"14",14,14,"AZ",14,0.467038635714018,0,-0.0188954252687118,-0.0190856454737083,0
"15",15,15,"AZ",15,0.503844922938871,1,-0.00482349429668836,0.0047501124942037,0
"16",16,16,"AZ",16,0.507557778363223,1,-0.0117979509410921,0.0190366158779834,0
"17",17,17,"AZ",17,0.525207200242278,1,0.0167566447335826,0.0103192548526764,0
"18",18,18,"AZ",18,0.50393687121156,1,0.00287661246108007,0.000237858324776729,0
"19",19,19,"AZ",19,0.531320968260209,1,0.0322508902239294,-0.00374490940580808,0
"20",20,20,"AZ",20,0.439329189472668,0,-0.0200286884032859,-0.0413812998768023,0
"21",21,21,"AZ",21,0.50661283388772,1,-0.00597211198978842,0.00927487829462818,0
"22",22,22,"AZ",22,0.533452159960273,1,0.0172030028941159,0.0231649136910491,0
"23",23,23,"AZ",23,0.480486764955207,0,0.00588756005430965,-0.0220125992823126,0
"24",24,24,"AZ",24,0.483117316101592,0,0.00965147205912321,-0.0235865470166911,0
"25",25,25,"AZ",25,0.44552937829706,0,-0.0040011271953354,-0.0460188575595078,0
"26",26,26,"AZ",26,0.474528389963567,0,-0.0133154154783849,-0.0203698125329134,0
"27",27,27,"AZ",27,0.500997655186635,1,0.0124174618783578,-0.0135897056790066,0
"28",28,28,"AZ",28,0.498501530292357,0,-0.00809174188309703,0.00235846568457814,0
"29",29,29,"AZ",29,0.485164196492165,0,-0.0160555521442899,-0.00425890392259985,0
"30",30,30,"AZ",30,0.507075139987352,1,-0.0109502088939198,0.0120639514765666,0
"31",31,31,"AZ",31,0.494861192051096,0,0.0193029231774681,-0.025408786308396,0
"32",32,32,"AZ",32,0.545646660138467,1,0.0338389406365117,0.0114055908347732,0
"33",33,33,"AZ",33,0.525280769285161,1,0.0198371557352025,0.00657541387282587,0
"34",34,34,"AZ",34,0.48090067863216,0,-0.0293717453207135,0.013910816380119,0
"35",35,35,"AZ",35,0.497894441766975,0,-0.012828698270487,0.0148983872430437,0
"36",36,36,"AZ",36,0.549998590794205,1,0.0250985585784938,0.0362569528225905,0
"37",37,37,"AZ",37,0.502001745802355,1,-0.0155622111177023,0.0213969751295942,0
"38",38,38,"AZ",38,0.537226436197791,1,0.0180712944620457,0.0205382813445921,0
"39",39,39,"AZ",39,0.45057608646532,0,-0.0220173267366502,-0.0296618217641545,0
